# confusables_lgr.tsv — ICANN Latin second-level LGR homoglyph pairs (#831).
#
# SOURCE. "Reference Label Generation Ruleset for the Second Level, Latin script",
# ICANN, 25 October 2024. It defines 25 variant sets over a 231-element repertoire,
# expanding to 51 blocked or fallback variant pairs.
#
# ADMISSION CRITERION. The pair is a BLOCKED variant in that LGR **and** its variant
# comment reads "Glyphs either homoglyph or nearly identical" — the Latin Generation
# Panel's own visual judgement. 23 of the 51 pairs qualify.
#
# DELIBERATELY EXCLUDED: the 23 pairs commented "Required for use with Common LGR".
# Those are transitivity artefacts of running this LGR concurrently with the Greek and
# Cyrillic ones (u/ü, a/á, o/ó, n/ń), and the LGR's own Variants section says they "can
# be removed if the LGR is used strictly as standalone". Importing them would strip
# legitimate diacritics. `tests/test_lgr_pairs.py` asserts they do NOT collide, which is
# what stops a later well-meaning import of the whole variant set.
#
# WHY A THIRD FILE. confusables_supplement.tsv is cross-script pairs from a measured
# confusable-vision dataset above a danger threshold (#336/#342); confusables_attested.tsv
# is codepoints observed in real attacker text (#597). These are neither: they are one
# registry's published visual judgement about SAME-SCRIPT Latin pairs. Three admission
# criteria, three provenance stories, three files.
#
# THE TARGETS ARE NOT ALL ASCII, and that is the point. Folding `ż` to `z` would merge it
# with the bare letter, which this LGR does not block — the over-collapse `search_key`
# already commits, at 1,534 non-LGR merges. The target must be the other member of the
# pair. `build.rs` asserts that any non-ASCII value here is Latin-script and is not itself
# a source, which is what keeps the fold one step and the fixed-point loop untouched.
#
# HOW THE TARGET IS CHOSEN. 23 pairs qualify by the criterion above; 19 of them can be
# expressed by a single code point and are the ones in this file. Those 19 form 16
# equivalence classes over 35
# code points, because several share a member: `ỉ` appears in three pairs and `ỷ` in two,
# so a pairwise "fold to the lower code point" rule is not a function. Per class:
#   * if some member already folds to a single ASCII character, that is the target;
#   * otherwise the lowest code point in the class.
# The first branch is what repairs `ǝ`/`ə`: the pairwise rule would have made `ə` the
# SOURCE and overwritten its existing TR39 fold to `e`, undoing a fold that already
# reaches ASCII.
#
# NOT INCLUDED: two pairs whose source is base + combining mark and has no precomposed
# form — `n̄` (U+006E U+0304) against `ñ`, and `g̃` (U+0067 U+0303) against `ḡ`. This
# file's format cannot express a multi-codepoint source, and confusables_contractions.tsv
# is unreachable from normalize_confusables (only the hostname path with contractions=on),
# so putting them there would not collide the pair. Filed as #836 with the whole class:
# six Latin bases where tilde and macron disagree on precomposition.
#
# Columns: source_hex, target, target_rule. The third is provenance and is validated,
# not consumed — a row that cannot say how its target was chosen has no business here.
0101	ã	lowest	# LATIN SMALL LETTER A WITH MACRON -> LATIN SMALL LETTER A WITH TILDE
010B	ć	lowest	# LATIN SMALL LETTER C WITH DOT ABOVE -> LATIN SMALL LETTER C WITH ACUTE
0123	ġ	lowest	# LATIN SMALL LETTER G WITH CEDILLA -> LATIN SMALL LETTER G WITH DOT ABOVE
012B	ĩ	lowest	# LATIN SMALL LETTER I WITH MACRON -> LATIN SMALL LETTER I WITH TILDE
014D	õ	lowest	# LATIN SMALL LETTER O WITH MACRON -> LATIN SMALL LETTER O WITH TILDE
016B	ũ	lowest	# LATIN SMALL LETTER U WITH MACRON -> LATIN SMALL LETTER U WITH TILDE
017C	ź	lowest	# LATIN SMALL LETTER Z WITH DOT ABOVE -> LATIN SMALL LETTER Z WITH ACUTE
01DD	e	ascii	# LATIN SMALL LETTER TURNED E -> LATIN SMALL LETTER E
01E7	ğ	lowest	# LATIN SMALL LETTER G WITH CARON -> LATIN SMALL LETTER G WITH BREVE
1E45	ń	lowest	# LATIN SMALL LETTER N WITH DOT ABOVE -> LATIN SMALL LETTER N WITH ACUTE
1EA3	à	lowest	# LATIN SMALL LETTER A WITH HOOK ABOVE -> LATIN SMALL LETTER A WITH GRAVE
1EBD	ē	lowest	# LATIN SMALL LETTER E WITH TILDE -> LATIN SMALL LETTER E WITH MACRON
1EC9	i	ascii	# LATIN SMALL LETTER I WITH HOOK ABOVE -> LATIN SMALL LETTER I
1ECF	ò	lowest	# LATIN SMALL LETTER O WITH HOOK ABOVE -> LATIN SMALL LETTER O WITH GRAVE
1EE7	ù	lowest	# LATIN SMALL LETTER U WITH HOOK ABOVE -> LATIN SMALL LETTER U WITH GRAVE
1EF3	ý	lowest	# LATIN SMALL LETTER Y WITH GRAVE -> LATIN SMALL LETTER Y WITH ACUTE
1EF7	ý	lowest	# LATIN SMALL LETTER Y WITH HOOK ABOVE -> LATIN SMALL LETTER Y WITH ACUTE
