0023_20E3	keycap: #
002A_20E3	keycap: *
0030_20E3	keycap: 0
0031_20E3	keycap: 1
0032_20E3	keycap: 2
0033_20E3	keycap: 3
0034_20E3	keycap: 4
0035_20E3	keycap: 5
0036_20E3	keycap: 6
0037_20E3	keycap: 7
0038_20E3	keycap: 8
0039_20E3	keycap: 9
261D_1F3FB	index pointing up: light skin tone
261D_1F3FC	index pointing up: medium-light skin tone
261D_1F3FD	index pointing up: medium skin tone
261D_1F3FE	index pointing up: medium-dark skin tone
261D_1F3FF	index pointing up: dark skin tone
26D3_200D_1F4A5	broken chain
26F9_200D_2640	woman bouncing ball
26F9_200D_2642	man bouncing ball
26F9_1F3FB	person bouncing ball: light skin tone
26F9_1F3FB_200D_2640	woman bouncing ball: light skin tone
26F9_1F3FB_200D_2642	man bouncing ball: light skin tone
26F9_1F3FC	person bouncing ball: medium-light skin tone
26F9_1F3FC_200D_2640	woman bouncing ball: medium-light skin tone
26F9_1F3FC_200D_2642	man bouncing ball: medium-light skin tone
26F9_1F3FD	person bouncing ball: medium skin tone
26F9_1F3FD_200D_2640	woman bouncing ball: medium skin tone
26F9_1F3FD_200D_2642	man bouncing ball: medium skin tone
26F9_1F3FE	person bouncing ball: medium-dark skin tone
26F9_1F3FE_200D_2640	woman bouncing ball: medium-dark skin tone
26F9_1F3FE_200D_2642	man bouncing ball: medium-dark skin tone
26F9_1F3FF	person bouncing ball: dark skin tone
26F9_1F3FF_200D_2640	woman bouncing ball: dark skin tone
26F9_1F3FF_200D_2642	man bouncing ball: dark skin tone
270A_1F3FB	raised fist: light skin tone
270A_1F3FC	raised fist: medium-light skin tone
270A_1F3FD	raised fist: medium skin tone
270A_1F3FE	raised fist: medium-dark skin tone
270A_1F3FF	raised fist: dark skin tone
270B_1F3FB	raised hand: light skin tone
270B_1F3FC	raised hand: medium-light skin tone
270B_1F3FD	raised hand: medium skin tone
270B_1F3FE	raised hand: medium-dark skin tone
270B_1F3FF	raised hand: dark skin tone
270C_1F3FB	victory hand: light skin tone
270C_1F3FC	victory hand: medium-light skin tone
270C_1F3FD	victory hand: medium skin tone
270C_1F3FE	victory hand: medium-dark skin tone
270C_1F3FF	victory hand: dark skin tone
270D_1F3FB	writing hand: light skin tone
270D_1F3FC	writing hand: medium-light skin tone
270D_1F3FD	writing hand: medium skin tone
270D_1F3FE	writing hand: medium-dark skin tone
270D_1F3FF	writing hand: dark skin tone
2764_200D_1F525	heart on fire
2764_200D_1FA79	mending heart
1F1E6_1F1E8	flag: Ascension Island
1F1E6_1F1E9	flag: Andorra
1F1E6_1F1EA	flag: United Arab Emirates
1F1E6_1F1EB	flag: Afghanistan
1F1E6_1F1EC	flag: Antigua & Barbuda
1F1E6_1F1EE	flag: Anguilla
1F1E6_1F1F1	flag: Albania
1F1E6_1F1F2	flag: Armenia
1F1E6_1F1F4	flag: Angola
1F1E6_1F1F6	flag: Antarctica
1F1E6_1F1F7	flag: Argentina
1F1E6_1F1F8	flag: American Samoa
1F1E6_1F1F9	flag: Austria
1F1E6_1F1FA	flag: Australia
1F1E6_1F1FC	flag: Aruba
1F1E6_1F1FD	flag: Åland Islands
1F1E6_1F1FF	flag: Azerbaijan
1F1E7_1F1E6	flag: Bosnia & Herzegovina
1F1E7_1F1E7	flag: Barbados
1F1E7_1F1E9	flag: Bangladesh
1F1E7_1F1EA	flag: Belgium
1F1E7_1F1EB	flag: Burkina Faso
1F1E7_1F1EC	flag: Bulgaria
1F1E7_1F1ED	flag: Bahrain
1F1E7_1F1EE	flag: Burundi
1F1E7_1F1EF	flag: Benin
1F1E7_1F1F1	flag: St. Barthélemy
1F1E7_1F1F2	flag: Bermuda
1F1E7_1F1F3	flag: Brunei
1F1E7_1F1F4	flag: Bolivia
1F1E7_1F1F6	flag: Caribbean Netherlands
1F1E7_1F1F7	flag: Brazil
1F1E7_1F1F8	flag: Bahamas
1F1E7_1F1F9	flag: Bhutan
1F1E7_1F1FB	flag: Bouvet Island
1F1E7_1F1FC	flag: Botswana
1F1E7_1F1FE	flag: Belarus
1F1E7_1F1FF	flag: Belize
1F1E8_1F1E6	flag: Canada
1F1E8_1F1E8	flag: Cocos (Keeling) Islands
1F1E8_1F1E9	flag: Congo - Kinshasa
1F1E8_1F1EB	flag: Central African Republic
1F1E8_1F1EC	flag: Congo - Brazzaville
1F1E8_1F1ED	flag: Switzerland
1F1E8_1F1EE	flag: Côte d’Ivoire
1F1E8_1F1F0	flag: Cook Islands
1F1E8_1F1F1	flag: Chile
1F1E8_1F1F2	flag: Cameroon
1F1E8_1F1F3	flag: China
1F1E8_1F1F4	flag: Colombia
1F1E8_1F1F5	flag: Clipperton Island
1F1E8_1F1F6	flag: Sark
1F1E8_1F1F7	flag: Costa Rica
1F1E8_1F1FA	flag: Cuba
1F1E8_1F1FB	flag: Cape Verde
1F1E8_1F1FC	flag: Curaçao
1F1E8_1F1FD	flag: Christmas Island
1F1E8_1F1FE	flag: Cyprus
1F1E8_1F1FF	flag: Czechia
1F1E9_1F1EA	flag: Germany
1F1E9_1F1EC	flag: Diego Garcia
1F1E9_1F1EF	flag: Djibouti
1F1E9_1F1F0	flag: Denmark
1F1E9_1F1F2	flag: Dominica
1F1E9_1F1F4	flag: Dominican Republic
1F1E9_1F1FF	flag: Algeria
1F1EA_1F1E6	flag: Ceuta & Melilla
1F1EA_1F1E8	flag: Ecuador
1F1EA_1F1EA	flag: Estonia
1F1EA_1F1EC	flag: Egypt
1F1EA_1F1ED	flag: Western Sahara
1F1EA_1F1F7	flag: Eritrea
1F1EA_1F1F8	flag: Spain
1F1EA_1F1F9	flag: Ethiopia
1F1EA_1F1FA	flag: European Union
1F1EB_1F1EE	flag: Finland
1F1EB_1F1EF	flag: Fiji
1F1EB_1F1F0	flag: Falkland Islands
1F1EB_1F1F2	flag: Micronesia
1F1EB_1F1F4	flag: Faroe Islands
1F1EB_1F1F7	flag: France
1F1EC_1F1E6	flag: Gabon
1F1EC_1F1E7	flag: United Kingdom
1F1EC_1F1E9	flag: Grenada
1F1EC_1F1EA	flag: Georgia
1F1EC_1F1EB	flag: French Guiana
1F1EC_1F1EC	flag: Guernsey
1F1EC_1F1ED	flag: Ghana
1F1EC_1F1EE	flag: Gibraltar
1F1EC_1F1F1	flag: Greenland
1F1EC_1F1F2	flag: Gambia
1F1EC_1F1F3	flag: Guinea
1F1EC_1F1F5	flag: Guadeloupe
1F1EC_1F1F6	flag: Equatorial Guinea
1F1EC_1F1F7	flag: Greece
1F1EC_1F1F8	flag: South Georgia & South Sandwich Islands
1F1EC_1F1F9	flag: Guatemala
1F1EC_1F1FA	flag: Guam
1F1EC_1F1FC	flag: Guinea-Bissau
1F1EC_1F1FE	flag: Guyana
1F1ED_1F1F0	flag: Hong Kong SAR China
1F1ED_1F1F2	flag: Heard & McDonald Islands
1F1ED_1F1F3	flag: Honduras
1F1ED_1F1F7	flag: Croatia
1F1ED_1F1F9	flag: Haiti
1F1ED_1F1FA	flag: Hungary
1F1EE_1F1E8	flag: Canary Islands
1F1EE_1F1E9	flag: Indonesia
1F1EE_1F1EA	flag: Ireland
1F1EE_1F1F1	flag: Israel
1F1EE_1F1F2	flag: Isle of Man
1F1EE_1F1F3	flag: India
1F1EE_1F1F4	flag: British Indian Ocean Territory
1F1EE_1F1F6	flag: Iraq
1F1EE_1F1F7	flag: Iran
1F1EE_1F1F8	flag: Iceland
1F1EE_1F1F9	flag: Italy
1F1EF_1F1EA	flag: Jersey
1F1EF_1F1F2	flag: Jamaica
1F1EF_1F1F4	flag: Jordan
1F1EF_1F1F5	flag: Japan
1F1F0_1F1EA	flag: Kenya
1F1F0_1F1EC	flag: Kyrgyzstan
1F1F0_1F1ED	flag: Cambodia
1F1F0_1F1EE	flag: Kiribati
1F1F0_1F1F2	flag: Comoros
1F1F0_1F1F3	flag: St. Kitts & Nevis
1F1F0_1F1F5	flag: North Korea
1F1F0_1F1F7	flag: South Korea
1F1F0_1F1FC	flag: Kuwait
1F1F0_1F1FE	flag: Cayman Islands
1F1F0_1F1FF	flag: Kazakhstan
1F1F1_1F1E6	flag: Laos
1F1F1_1F1E7	flag: Lebanon
1F1F1_1F1E8	flag: St. Lucia
1F1F1_1F1EE	flag: Liechtenstein
1F1F1_1F1F0	flag: Sri Lanka
1F1F1_1F1F7	flag: Liberia
1F1F1_1F1F8	flag: Lesotho
1F1F1_1F1F9	flag: Lithuania
1F1F1_1F1FA	flag: Luxembourg
1F1F1_1F1FB	flag: Latvia
1F1F1_1F1FE	flag: Libya
1F1F2_1F1E6	flag: Morocco
1F1F2_1F1E8	flag: Monaco
1F1F2_1F1E9	flag: Moldova
1F1F2_1F1EA	flag: Montenegro
1F1F2_1F1EB	flag: St. Martin
1F1F2_1F1EC	flag: Madagascar
1F1F2_1F1ED	flag: Marshall Islands
1F1F2_1F1F0	flag: North Macedonia
1F1F2_1F1F1	flag: Mali
1F1F2_1F1F2	flag: Myanmar (Burma)
1F1F2_1F1F3	flag: Mongolia
1F1F2_1F1F4	flag: Macao SAR China
1F1F2_1F1F5	flag: Northern Mariana Islands
1F1F2_1F1F6	flag: Martinique
1F1F2_1F1F7	flag: Mauritania
1F1F2_1F1F8	flag: Montserrat
1F1F2_1F1F9	flag: Malta
1F1F2_1F1FA	flag: Mauritius
1F1F2_1F1FB	flag: Maldives
1F1F2_1F1FC	flag: Malawi
1F1F2_1F1FD	flag: Mexico
1F1F2_1F1FE	flag: Malaysia
1F1F2_1F1FF	flag: Mozambique
1F1F3_1F1E6	flag: Namibia
1F1F3_1F1E8	flag: New Caledonia
1F1F3_1F1EA	flag: Niger
1F1F3_1F1EB	flag: Norfolk Island
1F1F3_1F1EC	flag: Nigeria
1F1F3_1F1EE	flag: Nicaragua
1F1F3_1F1F1	flag: Netherlands
1F1F3_1F1F4	flag: Norway
1F1F3_1F1F5	flag: Nepal
1F1F3_1F1F7	flag: Nauru
1F1F3_1F1FA	flag: Niue
1F1F3_1F1FF	flag: New Zealand
1F1F4_1F1F2	flag: Oman
1F1F5_1F1E6	flag: Panama
1F1F5_1F1EA	flag: Peru
1F1F5_1F1EB	flag: French Polynesia
1F1F5_1F1EC	flag: Papua New Guinea
1F1F5_1F1ED	flag: Philippines
1F1F5_1F1F0	flag: Pakistan
1F1F5_1F1F1	flag: Poland
1F1F5_1F1F2	flag: St. Pierre & Miquelon
1F1F5_1F1F3	flag: Pitcairn Islands
1F1F5_1F1F7	flag: Puerto Rico
1F1F5_1F1F8	flag: Palestinian Territories
1F1F5_1F1F9	flag: Portugal
1F1F5_1F1FC	flag: Palau
1F1F5_1F1FE	flag: Paraguay
1F1F6_1F1E6	flag: Qatar
1F1F7_1F1EA	flag: Réunion
1F1F7_1F1F4	flag: Romania
1F1F7_1F1F8	flag: Serbia
1F1F7_1F1FA	flag: Russia
1F1F7_1F1FC	flag: Rwanda
1F1F8_1F1E6	flag: Saudi Arabia
1F1F8_1F1E7	flag: Solomon Islands
1F1F8_1F1E8	flag: Seychelles
1F1F8_1F1E9	flag: Sudan
1F1F8_1F1EA	flag: Sweden
1F1F8_1F1EC	flag: Singapore
1F1F8_1F1ED	flag: St. Helena
1F1F8_1F1EE	flag: Slovenia
1F1F8_1F1EF	flag: Svalbard & Jan Mayen
1F1F8_1F1F0	flag: Slovakia
1F1F8_1F1F1	flag: Sierra Leone
1F1F8_1F1F2	flag: San Marino
1F1F8_1F1F3	flag: Senegal
1F1F8_1F1F4	flag: Somalia
1F1F8_1F1F7	flag: Suriname
1F1F8_1F1F8	flag: South Sudan
1F1F8_1F1F9	flag: São Tomé & Príncipe
1F1F8_1F1FB	flag: El Salvador
1F1F8_1F1FD	flag: Sint Maarten
1F1F8_1F1FE	flag: Syria
1F1F8_1F1FF	flag: Eswatini
1F1F9_1F1E6	flag: Tristan da Cunha
1F1F9_1F1E8	flag: Turks & Caicos Islands
1F1F9_1F1E9	flag: Chad
1F1F9_1F1EB	flag: French Southern Territories
1F1F9_1F1EC	flag: Togo
1F1F9_1F1ED	flag: Thailand
1F1F9_1F1EF	flag: Tajikistan
1F1F9_1F1F0	flag: Tokelau
1F1F9_1F1F1	flag: Timor-Leste
1F1F9_1F1F2	flag: Turkmenistan
1F1F9_1F1F3	flag: Tunisia
1F1F9_1F1F4	flag: Tonga
1F1F9_1F1F7	flag: Türkiye
1F1F9_1F1F9	flag: Trinidad & Tobago
1F1F9_1F1FB	flag: Tuvalu
1F1F9_1F1FC	flag: Taiwan
1F1F9_1F1FF	flag: Tanzania
1F1FA_1F1E6	flag: Ukraine
1F1FA_1F1EC	flag: Uganda
1F1FA_1F1F2	flag: U.S. Outlying Islands
1F1FA_1F1F3	flag: United Nations
1F1FA_1F1F8	flag: United States
1F1FA_1F1FE	flag: Uruguay
1F1FA_1F1FF	flag: Uzbekistan
1F1FB_1F1E6	flag: Vatican City
1F1FB_1F1E8	flag: St. Vincent & Grenadines
1F1FB_1F1EA	flag: Venezuela
1F1FB_1F1EC	flag: British Virgin Islands
1F1FB_1F1EE	flag: U.S. Virgin Islands
1F1FB_1F1F3	flag: Vietnam
1F1FB_1F1FA	flag: Vanuatu
1F1FC_1F1EB	flag: Wallis & Futuna
1F1FC_1F1F8	flag: Samoa
1F1FD_1F1F0	flag: Kosovo
1F1FE_1F1EA	flag: Yemen
1F1FE_1F1F9	flag: Mayotte
1F1FF_1F1E6	flag: South Africa
1F1FF_1F1F2	flag: Zambia
1F1FF_1F1FC	flag: Zimbabwe
1F344_200D_1F7EB	brown mushroom
1F34B_200D_1F7E9	lime
1F385_1F3FB	Santa Claus: light skin tone
1F385_1F3FC	Santa Claus: medium-light skin tone
1F385_1F3FD	Santa Claus: medium skin tone
1F385_1F3FE	Santa Claus: medium-dark skin tone
1F385_1F3FF	Santa Claus: dark skin tone
1F3C2_1F3FB	snowboarder: light skin tone
1F3C2_1F3FC	snowboarder: medium-light skin tone
1F3C2_1F3FD	snowboarder: medium skin tone
1F3C2_1F3FE	snowboarder: medium-dark skin tone
1F3C2_1F3FF	snowboarder: dark skin tone
1F3C3_200D_2640	woman running
